Country,mean
ARG,79.8336675
AUS,38.258425
AUT,93.15138142857143
BEL,85.41484666666666
CAN,56.41007499999999
CHL,26.901206428571424
COL,48.88046777777778
CRI,59.41935
CZE,73.67485928571429
DEU,84.0404590909091
DNK,91.50719
ESP,72.21076857142857
EST,72.42260166666667
FIN,94.25007428571429
FRA,78.98023333333333
GBR,30.97703571428571
GRC,83.19642666666667
HUN,66.79020222222222
IND,90.34919
IRL,67.1565425
ISL,89.66260307692308
ISR,54.73388357142857
ITA,67.02529
JPN,32.512488000000005
KOR,37.89633
LTU,68.19422083333333
LUX,92.14146428571428
LVA,61.65582428571429
MEX,70.02464846153846
NLD,69.70729642857142
NOR,95.01653416666669
NZL,51.54009
POL,78.76185142857142
PRT,64.96181785714286
RUS,63.87508545454545
SVK,74.93703928571428
SVN,81.88728833333333
SWE,86.0486
TUR,74.59941125
USA,38.233740714285716
