Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
1;grandmaster;Chris Deotte;2018;58;16;3;4472
2;grandmaster;Abhishek Thakur;2011;60;23;20;3715
3;master;Marília Prata;2019;11;24;274;2821
4;grandmaster;DanB;2011;43;9;23;2727
5;grandmaster;Y.Nakama;2018;28;7;5;2152
6;grandmaster;Andrada Olteanu;2020;25;7;5;1865
7;grandmaster;DATAI;2017;19;7;7;1810
8;grandmaster;Carl McBride Ellis;2020;15;22;58;1758
9;grandmaster;dataista0 (Julián Peller);2017;15;13;13;1737
10;grandmaster;Andrew Lukyanenko;2017;42;24;24;1736
11;grandmaster;Yam Peleg;2015;15;6;42;1709
12;grandmaster;Subin An;2019;24;9;47;1689
13;grandmaster;Awsaf;2020;17;5;11;1565
14;grandmaster;torch;2018;15;2;14;1558
15;grandmaster;Rob Mulla;2016;25;13;41;1544
16;grandmaster;Vitalii Mokin;2018;20;14;61;1510
17;grandmaster;xhlulu;2019;30;16;36;1488
18;grandmaster;Bojan Tunguz;2016;24;51;157;1472
19;grandmaster;Mr_KnowNothing;2019;16;5;4;1420
20;grandmaster;Yaroslav Isaienkov;2018;16;3;12;1410
21;grandmaster;Martin Kovacevic Buvinic;2018;19;19;8;1390
22;grandmaster;Prashant Banerjee;2018;29;14;0;1354
23;grandmaster;chumajin;2020;18;4;4;1326
24;grandmaster;SRK;2013;30;13;21;1244
25;grandmaster;Vopani;2013;17;11;7;1237
26;grandmaster;Parul Pandey;2016;17;16;17;1226
27;grandmaster;tito;2016;16;4;5;1221
28;master;Tensor Girl;2015;11;0;0;1188
29;master;Gunes Evitan;2019;10;7;11;1186
30;grandmaster;Ruchi Bhatia;2019;18;2;1;1158
31;grandmaster;Heads or Tails;2017;22;0;0;1155
32;grandmaster;Gabriel Preda;2017;29;28;56;1153
33;grandmaster;Shivam Bansal;2018;26;12;28;1150
34;grandmaster;Leonie;2020;16;6;4;1128
35;grandmaster;Alex Shonenkov;2018;18;4;6;1119
36;master;Ammar Alhaj Ali;2021;12;7;20;1118
37;master;Sanskar Hasija;2021;13;9;4;1118
38;master;Hidehisa Arai;2018;13;5;8;1113
39;grandmaster;AndresHG;2020;16;6;1;1099
40;master;ColinMorris;2016;10;7;9;1097
41;grandmaster;Rachael Tatman;2017;32;28;61;1064
42;grandmaster;Aleksey Bilogur;2017;16;15;41;1049
43;master;Remek Kinas;2020;7;17;0;1045
44;grandmaster;Karnika Kapoor;2019;15;0;0;1027
45;grandmaster;Kostiantyn Isaienkov;2017;19;10;22;1023
46;grandmaster;Yirun Zhang;2019;17;12;13;972
47;master;Fares Sayah;2019;11;17;17;941
48;master;Theo Viel;2018;10;16;10;939
49;grandmaster;corochann;2016;16;5;10;928
50;expert;Yassine Ghouzam;2017;3;1;2;928
51;master;Debarshi Chanda;2020;8;13;9;927
52;master;Slawek Biel;2018;7;5;6;897
53;master;Ertuðrul Demir;2020;14;3;5;895
