country,SUBJECT,TIME,Value
AUS,HH,2013,42.23634
AUS,HH,2014,47.64721
AUS,HH,2015,49.86091
AUS,HH,2016,47.43574
AUS,HH,2017,48.65071
AUS,HH,2018,52.3847
AUS,OTHPRIVENT,2013,15.27347
AUS,OTHPRIVENT,2014,13.59284
AUS,OTHPRIVENT,2015,12.31883
AUS,OTHPRIVENT,2016,13.04121
AUS,OTHPRIVENT,2017,15.18507
AUS,OTHPRIVENT,2018,12.82241
AUT,HH,2012,2.075188
AUT,HH,2013,2.597502
AUT,HH,2014,2.925185
AUT,HH,2015,3.085624
AUT,HH,2016,3.076765
AUT,HH,2017,2.957081
AUT,HH,2018,3.194471
AUT,OTHPRIVENT,2012,2.781363
AUT,OTHPRIVENT,2013,2.818475
AUT,OTHPRIVENT,2014,2.643998
AUT,OTHPRIVENT,2015,3.145569
AUT,OTHPRIVENT,2016,3.348473
AUT,OTHPRIVENT,2017,5.944208
AUT,OTHPRIVENT,2018,7.346432
BEL,HH,2012,7.998446
BEL,HH,2013,7.943081
BEL,HH,2014,7.939892
BEL,HH,2015,8.068292
BEL,HH,2016,7.940902
BEL,HH,2017,7.715065
BEL,HH,2018,7.515335
BEL,OTHPRIVENT,2012,4.801591
BEL,OTHPRIVENT,2013,5.133787
BEL,OTHPRIVENT,2014,5.424984
BEL,OTHPRIVENT,2015,5.592228
BEL,OTHPRIVENT,2016,6.487826
BEL,OTHPRIVENT,2017,6.262579
BEL,OTHPRIVENT,2018,5.719663
CAN,HH,2011,23.35465
CAN,HH,2012,17.50859
CAN,HH,2013,18.31047
CAN,HH,2014,19.25186
CAN,HH,2015,21.11193
CAN,HH,2016,20.81645
CAN,HH,2017,22.38809
CAN,HH,2018,24.06111
CAN,OTHPRIVENT,2011,21.59151
CAN,OTHPRIVENT,2012,23.52971
CAN,OTHPRIVENT,2013,25.26409
CAN,OTHPRIVENT,2014,25.58989
CAN,OTHPRIVENT,2015,22.31277
CAN,OTHPRIVENT,2016,25.92064
CAN,OTHPRIVENT,2017,23.66376
CAN,OTHPRIVENT,2018,23.60117
CZE,HH,2012,7.275652
CZE,HH,2013,7.892095
CZE,HH,2014,8.151575
CZE,HH,2015,8.14693
CZE,HH,2016,9.621507
CZE,HH,2017,9.378695
CZE,HH,2018,7.087445
CZE,OTHPRIVENT,2012,10.52288
CZE,OTHPRIVENT,2013,11.4206
CZE,OTHPRIVENT,2014,11.79076
CZE,OTHPRIVENT,2015,11.76253
CZE,OTHPRIVENT,2016,13.98874
CZE,OTHPRIVENT,2017,13.68123
CZE,OTHPRIVENT,2018,10.36652
FRA,HH,2012,10.42615
FRA,HH,2013,10.64482
FRA,HH,2014,11.54018
FRA,HH,2015,10.70595
FRA,HH,2016,11.19718
FRA,HH,2017,11.42078
FRA,HH,2018,11.61221
FRA,OTHPRIVENT,2012,9.40469
FRA,OTHPRIVENT,2013,10.13218
FRA,OTHPRIVENT,2014,9.442914
FRA,OTHPRIVENT,2015,9.59411
FRA,OTHPRIVENT,2016,10.06854
FRA,OTHPRIVENT,2017,9.725367
FRA,OTHPRIVENT,2018,10.08005
ISL,HH,2012,7.10122
ISL,HH,2013,7.769048
ISL,HH,2014,7.890297
ISL,HH,2015,7.650756
ISL,HH,2016,7.401554
ISL,HH,2017,7.329608
ISL,HH,2018,7.687223
ISL,OTHPRIVENT,2012,0.5742739
ISL,OTHPRIVENT,2013,0.600233
ISL,OTHPRIVENT,2014,0.6168987
ISL,OTHPRIVENT,2015,0.6131782
ISL,OTHPRIVENT,2016,0.6362411
ISL,OTHPRIVENT,2017,0.6717747
ISL,OTHPRIVENT,2018,0.7267935
IRL,HH,2015,27.02678
IRL,HH,2016,26.55865
IRL,HH,2017,26.49832
IRL,HH,2018,24.9219
IRL,OTHPRIVENT,2015,2.209792
IRL,OTHPRIVENT,2016,2.156615
IRL,OTHPRIVENT,2017,2.350179
IRL,OTHPRIVENT,2018,2.589493
ITA,HH,2012,25.78331
ITA,HH,2013,25.42188
ITA,HH,2014,26.50286
ITA,HH,2015,28.2425
ITA,HH,2016,29.8572
ITA,HH,2017,29.2613
ITA,HH,2018,31.85868
ITA,OTHPRIVENT,2012,7.344019
ITA,OTHPRIVENT,2013,6.300539
ITA,OTHPRIVENT,2014,7.630894
ITA,OTHPRIVENT,2015,7.115799
ITA,OTHPRIVENT,2016,6.092502
ITA,OTHPRIVENT,2017,5.878919
ITA,OTHPRIVENT,2018,4.007207
JPN,HH,2005,51.39446
JPN,HH,2011,52.32327
JPN,HH,2012,52.15364
JPN,HH,2013,50.61538
JPN,HH,2014,51.03793
JPN,HH,2015,51.99517
JPN,HH,2016,52.68304
JPN,HH,2017,52.56713
JPN,HH,2018,52.67033
JPN,OTHPRIVENT,2005,16.36396
JPN,OTHPRIVENT,2011,16.02327
JPN,OTHPRIVENT,2012,15.2651
JPN,OTHPRIVENT,2013,14.86225
JPN,OTHPRIVENT,2014,15.17072
