country,TIME,Value
AUS,2017,51.989063
AUS,2017,51.989063
AUS,2018,51.393173
AUS,2019,52.478458
AUS,2020,54.614105
AUT,2017,40.324657
AUT,2018,40.458271
AUT,2019,41.610401
AUT,2020,41.419125
BEL,2017,45.725086
BEL,2018,47.397144
BEL,2019,47.282982
BEL,2020,48.508053
CAN,2017,60.916767
CAN,2018,61.754246
CAN,2019,62.965115
CAN,2020,64.386749
CZE,2017,33.821026
CZE,2018,33.328793
CZE,2019,32.580391
CZE,2020,33.001759
DNK,2017,45.537395
DNK,2018,45.83231
DNK,2019,47.097672
DNK,2020,42.575157
FIN,2017,41.253643
FIN,2018,41.313869
FIN,2019,41.820766
FIN,2020,44.665718
FRA,2017,44.34428
FRA,2018,46.937691
FRA,2019,48.052528
FRA,2020,49.449242
DEU,2017,31.308737
DEU,2018,32.281734
DEU,2019,33.260235
DEU,2020,34.876732
GRC,2017,42.479965
GRC,2018,42.821678
GRC,2019,42.406635
GRC,2020,43.685429
HUN,2017,30.162258
HUN,2018,30.576908
HUN,2019,30.589085
HUN,2020,30.688835
ISL,2017,42.677822
ISL,2018,42.116936
ISL,2019,42.176826
ISL,2020,38.304203
IRL,2017,53.473541
IRL,2018,56.174488
IRL,2019,55.44936
IRL,2020,58.383801
ITA,2017,26.816479
ITA,2018,27.726679
ITA,2019,27.744524
ITA,2020,28.858971
JPN,2017,60.426178
JPN,2018,60.730949
JPN,2019,61.514194
KOR,2017,69.752068
KOR,2018,69.574219
KOR,2019,69.802818
KOR,2020,69.812752
LUX,2017,51.395588
LUX,2018,54.780186
LUX,2019,54.989532
LUX,2020,58.153271
MEX,2017,22.555721
MEX,2018,23.359127
MEX,2019,23.587111
MEX,2020,25.290871
NLD,2017,46.594383
NLD,2018,47.603172
NLD,2019,49.103264
NLD,2020,52.261906
NZL,2017,44.158596
NZL,2018,45.811745
NZL,2019,43.792194
NZL,2020,43.913631
NOR,2017,48.337029
NOR,2018,48.211601
NOR,2019,48.658932
NOR,2020,50.841923
POL,2017,43.526325
POL,2018,43.523716
POL,2019,43.484364
POL,2020,42.433945
PRT,2017,34.031322
PRT,2018,35.078072
PRT,2019,37.36721
PRT,2020,41.910061
SVK,2017,35.065048
SVK,2018,37.208523
SVK,2019,39.158154
SVK,2020,39.042641
ESP,2017,42.644691
ESP,2018,44.259609
ESP,2019,46.508266
ESP,2020,47.379524
SWE,2017,47.388306
SWE,2018,47.530075
SWE,2019,48.373196
SWE,2020,49.133411
CHE,2017,50.136665
CHE,2018,51.206909
CHE,2019,52.695705
CHE,2020,52.972816
TUR,2017,31.588659
TUR,2018,33.280041
TUR,2019,35.325356
GBR,2017,51.624851
GBR,2018,50.752552
GBR,2019,51.809521
GBR,2020,55.833538
USA,2017,47.757
USA,2018,49.373737
USA,2019,50.380188
USA,2020,51.856071
ARG,2017,18.388876
ARG,2018,39.957542
BRA,2017,19.613668
BRA,2018,21.314569
BRA,2019,21.602325
BRA,2020,23.531902
CHL,2017,33.726387
EST,2017,43.041157
EST,2018,43.633705
EST,2019,42.760071
EST,2020,43.145798
IDN,2017,16.130028
ISR,2017,48.028301
ISR,2018,47.1143
ISR,2019,47.04248
ISR,2020,47.257065
RUS,2017,62.657864
RUS,2018,62.09024
SVN,2017,44.566971
SVN,2018,40.713264
SVN,2019,44.105736
SVN,2020,45.425419
ZAF,2017,14.820914
ZAF,2018,14.292954
ZAF,2019,14.487103
ZAF,2020,14.853134
OAVG,2017,43.171617
OAVG,2018,43.996352
OAVG,2019,44.761941
OAVG,2020,45.513483
LVA,2017,41.608852
LVA,2018,41.648941
LVA,2019,43.811146
LVA,2020,44.246166
COL,2017,28.106581
COL,2018,28.959703
COL,2019,29.873518
COL,2020,29.993586
LTU,2017,55.625957
LTU,2018,55.581402
LTU,2019,55.187374
LTU,2020,56.18409
CRI,2017,28.004108
CRI,2018,27.815552
CRI,2019,31.346508
CRI,2020,32.465542
G20,2018,39.987938
G20,2019,39.335909
