,Country,HH,complex_OTHPRIVENT,PUB,PRIV,time-expand,time-in-column_1
0,AUS,0.8254969571319452,0.5726384265244516,0.16673513801617904,0.8486335419048325,0.2004494565106694,0.6281975576227184
1,AUT,0.048504878109492826,0.16729513644548483,0.9726177234987875,0.04593436148886237,0.03378392140621489,0.374803088153162
2,BEL,0.13498553377744116,0.23530387689972349,0.8590377846096743,0.1185853216763698,0.0790690411368128,0.5111101401583839
3,CAN,0.35808601265864765,1.0,0.4332192114657473,0.5727995684174408,0.1090984391230846,0.8429588226931007
4,CHL,1.0,0.3027233647307836,0.0,1.0,0.4364209139854299,0.21782747730727905
5,COL,0.8768263072194752,0.0015829687079594475,0.3226771723644499,0.6826094079681111,0.7735744013470113,0.12023174035016758
6,CRI,0.6973155179204816,0.0,0.4773983279719577,0.531707746331948,0.6956323961735088,0.1348846659939181
7,CZE,0.14096117634734617,0.49858890610756373,0.686683224031285,0.2371125924271523,0.04810949901214595,0.20602410785477568
8,DNK,0.0008966875509793111,0.3525937881547497,0.9484793763283328,0.028701731419910448,0.07920482860227158,0.46836904546880936
9,ESP,0.47801180878063243,0.1412861357837149,0.6651889324686697,0.33625448975798233,0.08843837625348797,0.46700903828289037
10,EST,0.14025115176095151,0.36236789271248654,0.6682988506364659,0.2245514009752583,0.062163501687159194,0.4224182026223793
11,FIN,0.0,0.15045776634649963,0.9887476151638079,0.0,0.07479173597485216,0.4032666759623988
12,FRA,0.19006879539053376,0.408547914393662,0.7645713326816362,0.22790641489811814,0.17432394815634575,0.5104067750518172
13,GBR,0.7617150856332955,0.8752975476402639,0.059837182335610674,0.8873413685827807,0.1328408774586019,0.6257303330742009
14,IRL,0.45094770159248443,0.09720485660838568,0.5909879231031688,0.35885718084979473,0.40041007814568647,0.6988272601624987
15,ISL,0.12935763684765433,0.02649761483641925,0.9213990262172772,0.06806360915849403,0.31839444900841213,0.3827495488205866
16,ISR,0.475375674762052,0.7136257212193553,0.40861107282452386,0.5769253693252608,0.6383029282566927,0.5139821672801997
17,ITA,0.4832904912656563,0.2648325880581575,0.5890610073213837,0.39068949387855256,0.010496371079985535,0.08880754498909194
18,JPN,0.8925834343982276,0.6582220998032184,0.08237913194815809,0.9191922187234205,0.0,0.8078724810928996
19,KOR,0.7481227723637168,0.7757928327851461,0.16141922730967453,0.8416597366111239,0.33006538166461874,1.0
20,LTU,0.37865309604421926,0.2660398925094297,0.6062220615532284,0.356497344754593,0.0899320383735376,0.6939270604997549
21,LUX,0.04340274201284861,0.09222477842108107,0.9577911466269811,0.01578599401885443,0.009880645159024702,0.6762226715430868
22,LVA,0.4544832285853254,0.09671889345277532,0.510231969972677,0.40478100084137264,0.019797812463931263,0.4155453669597722
23,MEX,0.5096172057139758,0.01509591158532521,0.6330945392904443,0.37898136830463985,1.0,0.0
24,NLD,0.2731598109992093,0.5530600505651366,0.6284354993429708,0.34732416255094556,0.10276395385941912,0.5472192638845711
25,NOR,0.06167186927424088,0.05613252552508597,1.0,0.014398531671469315,0.15286952861381373,0.5498625577858742
26,NZL,0.5735673020121488,0.6248704651305866,0.3617230422228248,0.6451765959137957,0.2935453428294037,0.45008837326085915
27,POL,0.32767683081904225,0.16207133182142885,0.7613652715495282,0.2733098821844046,0.10520812823768218,0.42452312278576415
28,PRT,0.49314870031244135,0.2473603700766472,0.5587672069187603,0.36605643202741694,0.1418028501788999,0.2910351245027214
29,RUS,0.4050079223272541,0.4932532818894976,0.5428129064891137,0.45705807832626727,0.050764143961870754,0.8400988075815355
30,SVK,0.23071093921448552,0.5062401057757492,0.7052132677367648,0.2769931843367098,0.1321619401313064,0.30237214340535185
31,SVN,0.19487827562272547,0.1279614206746269,0.8072497590584083,0.15416528117073505,0.03844822084473379,0.43453153841535097
32,SWE,0.012645663518065635,0.42717856472492227,0.8683419068150334,0.0938103951842235,0.08823469505529939,0.5301801458880367
33,TUR,0.1895042481671813,0.5651652494647563,0.7002565561282931,0.3011697010174931,0.8329814174853519,0.21069481223306527
34,USA,0.7503029033781831,0.7563971800713859,0.1663727484258479,0.836800670057396,0.19183374182729182,0.5678779177041211
